location,Basel,Basel,Basel,Basel
lat,47.54694,47.54694,47.54694,47.54694
lon,7.56892,7.56892,7.56892,7.56892
asl,283.697,283.697,283.697,283.697
variable,Temperature,Relative Humidity,Wind Speed,Wind Direction
unit,°C,%,km/h,°
level,2 m elevation corrected,2 m,10 m,10 m
resolution,hourly,hourly,hourly,hourly
aggregation,None,None,None,None
timestamp,Basel Temperature [2 m elevation corrected],Basel Relative Humidity [2 m],Basel Wind Speed [10 m],Basel Wind Direction [10 m]
20210420T0000,8.910529,66.0,4.1046314,217.87498
20210420T0100,8.320529,68.0,2.7416782,203.1986
20210420T0200,7.4705286,71.0,2.1897945,189.46233
20210420T0300,6.8905287,72.0,2.5455842,171.8699
20210420T0400,6.3505287,75.0,2.8799999,180.0
20210420T0500,5.7205286,80.0,2.968636,165.96376
20210420T0600,5.3005285,83.0,4.1046314,164.74487
20210420T0700,5.3205285,83.0,4.5536795,161.56505
20210420T0800,6.1405287,79.0,2.0991426,149.03624
20210420T0900,8.080529,72.0,3.6179552,95.71059
20210420T1000,10.490529,55.0,5.771239,86.42367
20210420T1100,12.740529,46.0,7.9526596,84.805565
20210420T1200,14.030529,44.0,8.473393,77.73522
20210420T1300,14.970529,42.0,8.161764,48.576324
20210420T1400,15.340529,42.0,7.968939,71.56504
20210420T1500,15.920529,39.0,7.0911775,66.037506
20210420T1600,16.240528,38.0,5.95906,64.98311
20210420T1700,16.350529,37.0,5.154415,65.224846
20210420T1800,16.20053,37.0,5.3517847,70.346176
20210420T1900,15.840529,37.0,6.519877,83.65981
20210420T2000,15.000529,40.0,6.849467,86.98721
20210420T2100,14.160529,43.0,6.130579,86.63353
20210420T2200,12.410529,52.0,7.4128532,119.054596
20210420T2300,10.090529,63.0,6.989936,145.49147
20210421T0000,9.310529,63.0,5.634891,153.43495
20210421T0100,8.910529,61.0,4.8433046,138.01279
20210421T0200,8.180529,63.0,5.8603754,137.48955
20210421T0300,7.5005283,66.0,6.3690495,132.70938
20210421T0400,6.9205284,69.0,7.42159,129.09386
20210421T0500,6.3305287,71.0,7.2,126.869896
20210421T0600,6.1705284,70.0,6.9153743,128.6598
20210421T0700,6.3205285,68.0,5.904439,127.56859
20210421T0800,7.1605287,67.0,4.802999,102.99461
20210421T0900,9.3005295,59.0,6.5693827,99.46232
20210421T1000,12.180529,49.0,5.4119864,93.81408
20210421T1100,14.500529,43.0,1.2979984,33.690063
20210421T1200,15.930529,40.0,2.9024127,299.74487
20210421T1300,15.940529,40.0,7.2359104,275.7106
20210421T1400,16.860529,40.0,5.3999996,360.0
20210421T1500,17.32053,38.0,9.83268,336.25052
20210421T1600,17.57053,37.0,9.346143,344.35776
20210421T1700,17.580528,36.0,11.367109,349.04596
20210421T1800,17.360529,36.0,11.966953,353.08878
20210421T1900,16.80053,38.0,11.304229,350.83765
20210421T2000,15.810529,43.0,9.605998,347.00537
20210421T2100,14.3005295,50.0,8.311245,342.34988
20210421T2200,13.220529,54.0,3.8939953,326.30994
20210421T2300,12.200529,56.0,1.609969,243.43495
20210422T0000,11.540529,58.0,1.9386592,201.8014
20210422T0100,10.920529,59.0,1.9386592,201.8014
20210422T0200,10.260529,62.0,1.08,180.0
20210422T0300,9.330529,68.0,4.8433046,138.01279
20210422T0400,8.420529,75.0,4.1046314,127.874985
20210422T0500,7.540529,81.0,5.2416787,105.9454
20210422T0600,6.7205286,87.0,4.68,89.99999
20210422T0700,5.5305285,91.0,2.8799999,89.99999
20210422T0800,6.3505287,86.0,1.08,360.0
20210422T0900,8.420529,76.0,5.0142193,338.9625
20210422T1000,10.240529,73.0,9.83268,336.25052
20210422T1100,12.110529,69.0,13.32,341.07538
20210422T1200,13.860529,61.0,15.629971,345.3236
20210422T1300,15.320529,55.0,17.654688,357.66272
20210422T1400,15.830529,52.0,16.75064,8.652542
20210422T1500,16.510529,47.0,22.33161,358.1524
20210422T1600,16.63053,46.0,23.803596,3.468216
20210422T1700,16.73053,44.0,21.829777,13.348724
20210422T1800,16.520529,43.0,19.0392,15.350128
20210422T1900,15.710529,45.0,18.175545,7.9696045
20210422T2000,14.060529,42.0,18.36353,1.1233063
20210422T2100,12.3005295,38.0,13.363711,355.36456
20210422T2200,11.230529,39.0,5.0142193,338.9625
20210422T2300,10.830529,43.0,1.609969,153.43495
20210423T0000,10.270529,46.0,2.2768397,161.56505
20210423T0100,9.040529,49.0,3.219938,206.56505
20210423T0200,6.7705283,56.0,3.219938,206.56505
20210423T0300,5.4005284,63.0,4.802999,102.99461
20210423T0400,4.6705284,70.0,6.489992,146.30994
20210423T0500,4.000529,72.0,5.1165614,140.71059
20210423T0600,3.3205285,73.0,3.563818,135.0
20210423T0700,2.9305286,72.0,5.3517847,160.34618
20210423T0800,4.3605285,66.0,1.8,143.1301
