Company,Team Strength,Sector,Location
Cubical Laboratories Private Limited,500+,Smart Home Automation and Security Solutions,South West Delhi
Signzy Technologies Private Ltd.,500+,Regtech,Mumbai City
PurpleBits Infosystems Pvt Ltd,500+,Healthcare,Vadodara
Say-luss Medicare pvt ltd,500+,Healthcare,Udaipur
Rabbit and Tortoise Technology Solutions,500+,Education|Information Technology Artificial Intelligence,Pune
Smart Joules Pvt. Ltd,500+,Clean Energy Solution,North Delhi
I REE CONSTRUCTION INDIA PRIVATE LIMITED,500+,Construction and Real Estate,Thane
Indus OS,500+,Enabing Smartphones for Regional India,Mumbai City
Wimera Systems Pvt Ltd,500+,Industrial IoT,Bangalore
Invilogic Software PVT LTD,500+,Healthcare|Education|Environment Clean Tech|Clean Energy Solution|Design Automation using KBE Process,Hyderabad
Green Agrevolution Private Limited,500+,Agriculture,Gurugram
GOOFFER HYPERLOCAL PVT LTD,500+,Financial Inclusion|CLOUD,Hyderabad
IPS e Services Private Limited,500+,Financial Inclusion|e governance and e commerce using a digital platform,Mumbai City
PictureTime Digiplex Pvt Ltd,500+,Entertainment and Cinema,Gautam Buddha Nagar
Sequretek IT Solutions Pvt. Ltd.,500+,Cyber Security,Mumbai City
NetObjex (India) Pvt. Ltd.,500+,Financial Inclusion|Smart city,Thane
Budi Srinivasa Rao,500+,Agriculture,East Godavari
Budi parvathi,500+,Education,East Godavari
WiJungle,21-50,Cybersecurity,Jaipur
Geo Climate Risk Solutions Pvt Ltd,21-50,Agriculture|Infrastructure Transport|Environment Clean Tech,Visakhapatnam
WeMakeScholars Edtech Pvt Ltd,21-50,Education|Financial Inclusion,Hyderabad
LectureNotes Technologies Pvt Ltd,21-50,Education,Khordha
TechClove Technologies Pvt Ltd,21-50,E-Comm Food Tech Housing Tech,Hyderabad
Tapits Technologies Private Limited,21-50,Financial Inclusion,Indore
Inspilearn Education Private Limited,21-50,Education,Mumbai Suburban
Safal Staratup,21-50,Business Consulting,Pune
Ithink Logistics,21-50,Infrastructure Transport,Mumbai Suburban
Log 9 Materials Scientific Private Limited,21-50,Environment Clean Tech|Clean Energy Solution,Bangalore
Brishti Technologies Pvt Ltd,21-50,Education,Kolkata
IOTomation Ecotech Private Limited,21-50,Infrastructure Transport,Gautam Buddha Nagar
WiSig Networks Pvt Ltd,21-50,5G and IoT,Sangareddy
Volumetree Technology Solutions Private Limited,21-50,Healthcare|Infrastructure Transport|Environment Clean Tech,Panchkula
Calligo Technologies Pvt Ltd,21-50,Artificial Intelligence and BigData Analytics,Bangalore
Alcodex Technologies Pvt. Ltd.,21-50,Environment Clean Tech,Ernakulam
PuREnergy Pvt Ltd,21-50,Infrastructure Transport|Environment Clean Tech,Sangareddy
Pineaxe Technologies LLP,21-50,Education,Coimbatore
Mpover India Tyre eService and AMC Pvt Ltd,21-50,Tyre and Bike AMC through Digital Technology,Chennai
